sid,account_sid,date_created,date_updated,parent_call_sid,to,from,phone_number_sid,status,start_time,end_time,duration,price,price_unit,direction,answered_by,forwarded_from,caller_name,uri
CA6091f8355c772ad2,ACcb44e59a6e8bf77b6329094c5a4db011,2023-07-20T08:41:14.264Z,2023-07-20T08:41:44.264Z,,+16000000095,+13121000063,PNf2640311e9f4e36f,busy,2023-07-20T08:41:14.264Z,2023-07-20T09:10:51.264Z,1777,-0.4442,USD,outbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA8c19c3c5f2da797c.json
CA8eeb98059adcb817,ACcb44e59a6e8bf77b6329094c5a4db011,2023-08-22T08:17:14.436Z,2023-08-22T08:17:44.436Z,,+16461000072,+16000000030,PN40949ae0a5401053,completed,2023-08-22T08:17:14.436Z,2023-08-22T08:43:34.436Z,1580,-0.3950,USD,inbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CAb4a96f0f84e6c129.json
CAaf431592386b52e6,ACcb44e59a6e8bf77b6329094c5a4db011,2023-11-29T08:55:26.752Z,2023-11-29T08:55:56.752Z,,+16171000442,+16000000009,PN321fbc6af7242cdc,busy,2023-11-29T08:55:26.752Z,2023-11-29T09:39:53.752Z,2667,-0.6668,USD,inbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA6e24f3cbac9c8bfa.json
CA435cb2a2bd82dd83,ACcb44e59a6e8bf77b6329094c5a4db011,2024-07-18T10:15:11.030Z,2024-07-18T10:15:41.030Z,,+16000000034,+14151000184,PN82afe6367dc75173,completed,2024-07-18T10:15:11.030Z,2024-07-18T10:42:44.030Z,1653,-0.4133,USD,outbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA3c4b1d0eaf6d9d84.json
CA199f7238c2c57aa2,ACcb44e59a6e8bf77b6329094c5a4db011,2025-01-10T01:39:57.046Z,2025-01-10T01:40:27.046Z,,+16000000094,+16141000059,PN9aed5c2576f75750,completed,2025-01-10T01:39:57.046Z,2025-01-10T02:29:31.046Z,2974,-0.7435,USD,outbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA2ddb3885ebe1ab1e.json
CAdb66f5baf0bce06b,ACcb44e59a6e8bf77b6329094c5a4db011,2025-06-06T10:24:16.757Z,2025-06-06T10:24:46.757Z,,+16000000068,+13121000258,PN2fafdd81c2a820d2,completed,2025-06-06T10:24:16.757Z,2025-06-06T10:55:06.757Z,1850,-0.4625,USD,outbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CAa69157359a9c613d.json
CA22419cbff22716d3,ACcb44e59a6e8bf77b6329094c5a4db011,2023-10-14T13:09:50.054Z,2023-10-14T13:10:20.054Z,,+16000000033,+12131000242,PN4ebc93ee010dd28a,completed,2023-10-14T13:09:50.054Z,2023-10-14T14:08:57.054Z,3547,-0.8867,USD,outbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA5d4d360388b1fccb.json
CA32c07a9d2c82edfe,ACcb44e59a6e8bf77b6329094c5a4db011,2024-03-10T16:00:18.188Z,2024-03-10T16:00:48.188Z,,+16461000252,+16000000043,PNfd811bba523874f6,busy,2024-03-10T16:00:18.188Z,2024-03-10T16:57:57.188Z,3459,-0.8647,USD,inbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CAecf32f85ccb77a15.json
CAa0fa0a59a26a4ca4,ACcb44e59a6e8bf77b6329094c5a4db011,2023-11-23T06:44:19.459Z,2023-11-23T06:44:49.459Z,,+16171000232,+16000000004,PNa67c2540768ffc3d,busy,2023-11-23T06:44:19.459Z,2023-11-23T06:46:51.459Z,152,-0.0380,USD,inbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CAddc9ad73325a2100.json
CA3d1c77c6539cf4df,ACcb44e59a6e8bf77b6329094c5a4db011,2024-05-05T21:18:08.851Z,2024-05-05T21:18:38.851Z,,+13141000429,+16000000073,PNf66b13d7a6208972,completed,2024-05-05T21:18:08.851Z,2024-05-05T21:41:58.851Z,1430,-0.3575,USD,inbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA7335a6aaa2e281a2.json
CA450fda52a96b3350,ACcb44e59a6e8bf77b6329094c5a4db011,2025-09-23T17:35:45.517Z,2025-09-23T17:36:15.517Z,,+16000000073,+17021000038,PN1c56b8e68473dc4a,completed,2025-09-23T17:35:45.517Z,2025-09-23T17:49:22.517Z,817,-0.2042,USD,outbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA83115a84fa081994.json
CA82598914d7b1b349,ACcb44e59a6e8bf77b6329094c5a4db011,2024-05-19T04:36:38.446Z,2024-05-19T04:37:08.446Z,,+16000000044,+16141000359,PNa196e692c00cd2e5,completed,2024-05-19T04:36:38.446Z,2024-05-19T05:27:38.446Z,3060,-0.7650,USD,outbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA4b7d870c152385b1.json
CA103b95af02392053,ACcb44e59a6e8bf77b6329094c5a4db011,2024-12-31T09:53:33.754Z,2024-12-31T09:54:03.754Z,,+12061000028,+16000000050,PNe6c9f64f879a49c7,busy,2024-12-31T09:53:33.754Z,2024-12-31T10:04:23.754Z,650,-0.1625,USD,inbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CAf5a48d5a426bd380.json
CAa583080f1c5b4a10,ACcb44e59a6e8bf77b6329094c5a4db011,2025-06-01T10:35:06.162Z,2025-06-01T10:35:36.162Z,,+14151000424,+16000000038,PNf3118f66c1734fb1,completed,2025-06-01T10:35:06.162Z,2025-06-01T10:52:38.162Z,1052,-0.2630,USD,inbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA360dfe19fcda6f73.json
CA1b1f3156712c7fe0,ACcb44e59a6e8bf77b6329094c5a4db011,2025-07-31T22:30:56.225Z,2025-07-31T22:31:26.225Z,,+16000000060,+15121000161,PNa87b36a4525f63f5,completed,2025-07-31T22:30:56.225Z,2025-07-31T23:05:29.225Z,2073,-0.5182,USD,outbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA3e78eea78be8f280.json
CAd15878b4579b1144,ACcb44e59a6e8bf77b6329094c5a4db011,2023-11-13T03:32:56.018Z,2023-11-13T03:33:26.018Z,,+16000000010,+13141000459,PN60c5a0397c4a20bd,busy,2023-11-13T03:32:56.018Z,2023-11-13T03:44:46.018Z,710,-0.1775,USD,outbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CA9804e66ac1907102.json
CA3ad5746d35889e85,ACcb44e59a6e8bf77b6329094c5a4db011,2024-06-01T15:55:03.202Z,2024-06-01T15:55:33.202Z,,+14151000304,+16000000048,PN306e35cbb4302d19,completed,2024-06-01T15:55:03.202Z,2024-06-01T16:50:25.202Z,3322,-0.8305,USD,inbound,human,,Acme Test,/2010-04-01/Accounts/ACcb44e59a6e8bf77b6329094c5a4db011/Calls/CAdba91c089509a986.json
