sid,account_sid,date_created,date_updated,date_sent,from,to,body,status,direction,num_segments,price,price_unit,uri,subresource_uris
SM8e6664154c9ad549,AC887a67f53ab0f8021a31dd0179d89352,2026-02-15T00:17:20.671Z,2026-02-15T00:17:50.671Z,2026-02-15T00:17:32.671Z,+12131000122,+16000000364,Test message 1 for outbound.,failed,outbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM8fa30588d1353d5e.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMcb9f4705bd0dd476/Media.json""}"
SM9fcf94d8fb3c0e36,AC887a67f53ab0f8021a31dd0179d89352,2023-06-04T19:32:55.883Z,2023-06-04T19:33:25.883Z,2023-06-04T19:33:07.883Z,+16000000456,+17021000353,Test message 2 for inbound.,sent,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMb5a09dd910542a0c.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMae61425497236a4e/Media.json""}"
SM2ce84ae8c7d11916,AC887a67f53ab0f8021a31dd0179d89352,2024-01-04T20:46:06.963Z,2024-01-04T20:46:36.963Z,2024-01-04T20:46:18.963Z,+13121000453,+16000000485,Test message 3 for outbound.,delivered,outbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMaf29a984238dbc68.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM6f0449f9d994c91c/Media.json""}"
SM0219387e1752e6a1,AC887a67f53ab0f8021a31dd0179d89352,2024-05-03T02:16:41.425Z,2024-05-03T02:17:11.425Z,2024-05-03T02:16:53.425Z,+14041000310,+16000000368,Test message 4 for outbound.,sent,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM88e6e647f35a5f1c.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMf59a7fdd26d36143/Media.json""}"
SMa288bd7a31ce0bd9,AC887a67f53ab0f8021a31dd0179d89352,2025-01-21T00:41:38.530Z,2025-01-21T00:42:08.530Z,2025-01-21T00:41:50.530Z,+16000000370,+15121000161,Test message 5 for inbound.,delivered,inbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMfa6fe472409e5fec.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM0c517db11036aece/Media.json""}"
SM15d84e176e15fee4,AC887a67f53ab0f8021a31dd0179d89352,2023-05-03T22:57:04.508Z,2023-05-03T22:57:34.508Z,2023-05-03T22:57:16.508Z,+16000000156,+13051000276,Test message 6 for inbound.,sent,inbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMecef1f913b07628f.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM9bc0f6f99cdee558/Media.json""}"
SM55afaeb0bd58197a,AC887a67f53ab0f8021a31dd0179d89352,2024-06-13T18:04:33.532Z,2024-06-13T18:05:03.532Z,2024-06-13T18:04:45.532Z,+16000000498,+16171000367,Test message 7 for inbound.,delivered,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMf21e8f2167b3b10e.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMb35966c8f78bbd59/Media.json""}"
SMfd587083625ff0ea,AC887a67f53ab0f8021a31dd0179d89352,2024-07-28T00:51:08.027Z,2024-07-28T00:51:38.027Z,2024-07-28T00:51:20.027Z,+12131000122,+16000000273,Test message 8 for outbound.,delivered,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMc94feab683d7f6c7.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM5fec75147a77b9d0/Media.json""}"
SM22a3835fc36a905c,AC887a67f53ab0f8021a31dd0179d89352,2024-01-09T07:35:13.304Z,2024-01-09T07:35:43.304Z,2024-01-09T07:35:25.304Z,+15031000485,+16000000242,Test message 9 for outbound.,delivered,outbound,2,-0.0150,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM81937853fd0947d0.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM7e38edc54af12f72/Media.json""}"
SM7d403d20ae8a7603,AC887a67f53ab0f8021a31dd0179d89352,2024-11-24T09:58:00.700Z,2024-11-24T09:58:30.700Z,2024-11-24T09:58:12.700Z,+16461000042,+16000000073,Test message 10 for outbound.,failed,outbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM1066dc7c5cde73ee.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM05db837686dd9896/Media.json""}"
SM34eccb32cb22c823,AC887a67f53ab0f8021a31dd0179d89352,2025-10-07T16:27:14.181Z,2025-10-07T16:27:44.181Z,2025-10-07T16:27:26.181Z,+16000000216,+13121000498,Test message 11 for inbound.,delivered,inbound,1,-0.0075,USD,/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SMb4bbf5cb02c63378.json,"{""media"":""/2010-04-01/Accounts/AC887a67f53ab0f8021a31dd0179d89352/Messages/SM7e0984ee6e9b5213/Media.json""}"
