sid,service_sid,account_sid,to,channel,status,valid,date_created,date_updated
VE3e49ee3027b29fed,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+18232200184,sms,canceled,false,2024-05-08T04:43:42.659Z,2024-05-08T05:31:40.639Z
VEf5fb5b7204d5d104,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+12915791809,email,approved,true,2023-09-06T12:57:05.788Z,2023-09-06T13:21:07.795Z
VE38efa157c58f8e2d,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+12180525945,email,pending,false,2024-07-04T17:52:52.366Z,2024-07-04T18:22:30.125Z
VEf807f11a77627706,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+19885394123,email,approved,true,2024-07-17T00:01:28.330Z,2024-07-17T00:58:30.016Z
VE5aab608b8cd1286e,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+11841929592,call,approved,true,2023-04-24T20:46:06.265Z,2023-04-24T21:37:27.615Z
VE90dd9000848ec075,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+12032667285,call,approved,true,2025-08-20T08:22:25.116Z,2025-08-20T09:18:31.812Z
VE2912d0f4b6567f99,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+14513687722,sms,expired,false,2026-01-27T02:42:13.047Z,2026-01-27T03:32:29.124Z
VE38c124f0cc293b97,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+18124495299,call,expired,false,2025-05-27T11:37:10.148Z,2025-05-27T12:32:13.955Z
VE577315e1b6e455a1,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+19284349396,email,canceled,false,2023-08-12T19:30:03.035Z,2023-08-12T20:23:50.220Z
VE8508b4caea96f998,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+15850725630,sms,approved,true,2023-12-29T12:32:40.891Z,2023-12-29T12:42:57.483Z
VEff90378fcf577e9f,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+18575511362,sms,approved,true,2025-04-22T11:18:05.576Z,2025-04-22T11:40:07.707Z
VE9c2b71d5faa4cc04,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+16490004812,email,canceled,false,2024-08-29T01:12:39.976Z,2024-08-29T01:57:13.000Z
VE485c49af982d7912,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+11501086194,call,canceled,false,2025-01-05T01:25:03.237Z,2025-01-05T02:20:32.579Z
VE86e1808e3f94cd17,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+18644141858,sms,canceled,false,2024-12-29T13:54:39.172Z,2024-12-29T14:45:55.911Z
VEa4b5bfef749ad6f3,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+14321409777,call,approved,true,2023-10-04T20:02:23.777Z,2023-10-04T20:58:31.265Z
VE07238ba141436d36,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+19447831081,call,canceled,false,2023-04-19T10:23:40.907Z,2023-04-19T11:14:33.576Z
VE25cfe463fd3f24f3,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+19176246550,sms,expired,false,2023-07-10T23:31:02.220Z,2023-07-11T00:00:08.715Z
VE432ecb390127e956,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+14017830526,call,approved,true,2026-03-17T10:47:06.967Z,2026-03-17T11:00:05.328Z
VE192de367f9d34b9a,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+19953844718,call,approved,true,2024-12-21T09:26:06.688Z,2024-12-21T09:37:07.403Z
VE6a0dcf2aae533e79,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+17584827593,call,approved,true,2025-01-25T05:57:09.048Z,2025-01-25T06:30:53.948Z
VEbce54cf39e2b3297,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+16240037204,call,approved,true,2024-12-22T13:35:34.107Z,2024-12-22T14:29:30.541Z
VE081f28693a709709,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+13487242665,sms,expired,false,2024-10-14T13:22:30.993Z,2024-10-14T14:07:40.813Z
VE9b7e8f4fcce2ec7a,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+19315443310,call,expired,false,2026-02-04T19:38:02.488Z,2026-02-04T20:24:33.531Z
VEa60e5fb7e10e1552,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+13396877413,call,expired,false,2023-05-24T03:52:06.682Z,2023-05-24T04:50:33.315Z
VEd82b5fa5486d1c0a,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+13918136249,call,approved,true,2023-09-06T16:52:56.122Z,2023-09-06T17:00:12.828Z
VE46ace57e350d6d63,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+15102461088,sms,approved,true,2025-07-17T16:36:45.253Z,2025-07-17T17:25:10.096Z
VEf6036569c0ed44d8,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+12749335228,call,approved,true,2025-08-30T03:30:44.984Z,2025-08-30T03:33:16.993Z
VE7a03f534791329bd,VAb5ed1fa6b256a34d,AC643664f446fab60de6961658e69b929a,+14881826396,email,approved,true,2024-02-08T20:52:22.272Z,2024-02-08T20:52:22.810Z
